Job,StockCode,Warehouse,Line,StockDescription,UnitQtyReqd,UnitCost,OperationOffset,OpOffsetFlag,Uom,Bin,QtyIssued,ValueIssued,QtyBilled,ValueBilled,Decimals,AllocCompleted,SequenceNum,AutoNarrCode,PhantomParent,NonConformFlag,ApplyCostUom,CostUom,BulkIssueItem,ScrapPercentage,ScrapQuantity,InclScrapOnDoc,DockToStock,HierarchyJob1,HierarchyJob2,HierarchyJob3,HierarchyJob4,HierarchyJob5,KitIssueItem,CompletedJobFlag,Version,Release,EccConsumption,SubJob,FixedQtyPerFlag,FixedQtyPer,NetUnitQtyReqd,ReservedLotSerFlag,RollUpCostFlag,CoProductCostVal,ReservedLotQty,ReservedSerQty,ConvFactUom,ConvMulDiv,UnitQtyReqdEnt,QtyIssuedEnt,QtyBilledEnt,ScrapQuantityEnt,NetUnitQtyReqdEnt,FixedQtyPerEnt,RefDesignator,AssemblyPlace,ItemNumber,ComponentType,QtyTotRequired,QtyTotRequiredEnt,QtyOutstanding,QtyOutstandingEnt,QtyToIssue,QtyToIssueEnt,QtyReserved,QtyReservedEnt,LineStatus,SalesOrderInitLine,CreatedBy,ProductCode,LibraryCode,FirstSeq,SecondSeq,OvrEccSpecIss,JobNest,TimeStamp,WipBranch,WipCtlGlCode,PickQuantity,ReservedBinQty,CapacityIssued,Line,OpCompViaJob,TransferQtyOrPct,TransferQtyPct,ParentQtyPlanned,OperYieldPct,OperYieldQty,ParIssQty,HoursBilled,CoProductCostVal,QtyScrappedEnt,TransferQtyPctEnt,ParentQtyPlanEnt,OperYieldQtyEnt,ParIssQtyEnt,QtyCompletedEnt,ResourceMask,SchStartRunDate,SchStartRunTime,ScheduledMachine,AllowOpSplit,CreatedBy,ProductCode,LibraryCode,FirstSeq,SecondSeq,JobNest,TimeStamp,WipBranch,WipCtlGlCode,ProductionBin
137,B111,SA,0,Diamond Frame,1,702.3,1,O,EA, ,300,186645.04,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,300,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x000000000003170D, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,300, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D4, , , 
137,B112,RM,0,Drive Train Assembly,1,5,1,O,EA, ,300,1500,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,300,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x000000000003170F, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,300, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D5, , , 
137,B113,SA,0,Handle Bar Assembly,1,709.39,1,O,EA, ,300,148575,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,300,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031710, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,300, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D6, , , 
137,B114,SA,0,Radially Spoked Front Wheel,1,710.15,1,O,EA, ,300,24167.64,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,300,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031711, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D7, , , 
137,B115,SA,0,Radially Spoked Rear Wheel,1,695.15,1,O,EA, ,300,19667.65,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,300,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031713, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D8, , , 
140,B1209,RM,0,Bicycle Stem,1,199,1,O,EA, ,1601,318599,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,1601,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031714, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D9, , , 
140,B1210,RM,0,Handle Bar Frame,1,220,1,O,EA, ,1601,352220,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,1601,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031717, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DA, , , 
140,B1211,RM,0,Handle Bar Brake Hood,1,17,1,O,EA, ,1601,27217,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,1601,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031718, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DB, , , 
140,B1212,SA,0,Bicycle Brake Assembly,1,214.14,1,O,EA, ,1601,342838.14,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,1601,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031719, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DC, , , 
140,B1213,FS,0,Adhesive for Rubber,0.5,4.5,1,O,LTR, ,800.5,3602.25,0,0,3,Y,0,0, , ,N, ,F,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,0.5,800.5,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x000000000003171A, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DD, , , 
141,B1215,RM,0,Small Flange Bicycle Wheel,1,50,1,O,EA, ,1601,80050,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,1601,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x000000000003171C, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DE, , , 
141,B1216,RM,0,Ball Bearing,2,22,2,O,EA, ,3202,70444,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,2,3202,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x000000000003171E, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DF, , , 
141,B1217,RM,0,Quick Release Lever F/Wheel,1,15,2,O,EA, ,1601,24015,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,1601,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x000000000003171F, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E0, , , 
141,B1218,RM,0,Steel Rim Bicycle,1,180,3,O,EA, ,1601,288180,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,1601,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031720, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E1, , , 
141,B1219,RM,0,Straight Gauge Spokes,24,12,4,O,EA, ,38424,461088,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,24,38424,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031721, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E2, , , 
141,B1220,RM,0,"Rubber Tubing 1 x 17""",1,18,4,O,EA, ,1601,28818,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,1601,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031723, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E3, , , 
141,B1221,RM,0,Bicycle Tires,1,35.5,4,O,EA, ,1601,56835.5,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,1601,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031724, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E4, , , 
142,B1215,RM,0,Small Flange Bicycle Wheel,1,50,1,O,EA, ,1601,80050,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,1601,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031725, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E5, , , 
142,B1216,RM,0,Ball Bearing,2,22,2,O,EA, ,3202,70444,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,2,3202,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031726, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E6, , , 
142,B1218,RM,0,Steel Rim Bicycle,1,180,3,O,EA, ,1601,288180,0,0,3,Y,0,0, , ,N, ,N,0,0,Y,0, , , , , ,Y, ,     ,     , , , ,0,0, , , ,0,0,1,M,1,1601,0,00:00.0,00:00.0,00:00.0, , , , ,0,0,0,0,0,0,0,0, ,0, , ,     ,0,0, , ,0x0000000000031727, , ,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E7, , , 
